Chan,MeanRate
B16,"[ 7.95454545  3.40909091 12.5         5.68181818  2.27272727  5.68181818
 13.63636364 11.36363636  5.68181818  6.81818182  4.54545455 20.45454545
 15.90909091 20.45454545 18.18181818 21.59090909 22.72727273 12.5
 22.72727273 18.18181818  1.13636364  2.27272727  3.40909091  6.81818182
  6.81818182  6.81818182  2.27272727  5.68181818  3.40909091  1.13636364
  5.68181818  6.81818182  2.27272727  6.81818182  9.09090909 11.36363636
  4.54545455  5.68181818  2.27272727  4.54545455  3.40909091 11.36363636
  7.95454545  5.68181818  7.95454545 11.36363636 13.63636364 17.04545455
  7.95454545  6.81818182]"
B06,"[15.90909091 10.22727273 11.36363636 20.45454545 12.5        13.63636364
 20.45454545 23.86363636 18.18181818 18.18181818 15.90909091 18.18181818
 21.59090909 39.77272727 22.72727273 18.18181818 19.31818182 19.31818182
 11.36363636  9.09090909 14.77272727 17.04545455 17.04545455 10.22727273
 10.22727273 12.5        13.63636364 11.36363636 11.36363636 20.45454545
 15.90909091 10.22727273 10.22727273 17.04545455 14.77272727 17.04545455
 13.63636364 12.5        13.63636364 15.90909091 25.         15.90909091
 12.5        14.77272727 20.45454545 15.90909091 13.63636364 25.
 18.18181818 10.22727273]"
B21,"[ 2.27272727  2.27272727  4.54545455  5.68181818  4.54545455  5.68181818
  4.54545455 11.36363636  5.68181818  9.09090909 11.36363636  9.09090909
 18.18181818 26.13636364 11.36363636 10.22727273 15.90909091 12.5
 18.18181818 10.22727273  6.81818182  4.54545455  7.95454545  4.54545455
  1.13636364  4.54545455  7.95454545  4.54545455  2.27272727  5.68181818
  9.09090909  3.40909091  4.54545455  7.95454545  3.40909091  2.27272727
  4.54545455  4.54545455  1.13636364  3.40909091  6.81818182  9.09090909
 17.04545455  6.81818182  6.81818182 10.22727273 14.77272727 14.77272727
 14.77272727 25.        ]"
B26,"[ 9.09090909  9.09090909  2.27272727  5.68181818  5.68181818  5.68181818
  6.81818182  2.27272727  3.40909091 11.36363636 14.77272727 18.18181818
 10.22727273 13.63636364 19.31818182 15.90909091  9.09090909  5.68181818
  3.40909091  6.81818182  1.13636364  0.          1.13636364  3.40909091
  1.13636364  0.          0.          0.          2.27272727  1.13636364
  4.54545455  0.          2.27272727  1.13636364  0.          4.54545455
  0.          0.          0.          0.          6.81818182 15.90909091
  6.81818182  9.09090909  3.40909091  4.54545455 13.63636364  5.68181818
  1.13636364  9.09090909]"
B11,"[123.86363636 132.95454545 103.40909091 120.45454545 117.04545455
 125.         129.54545455 120.45454545 122.72727273 106.81818182
 117.04545455 128.40909091  98.86363636 125.         142.04545455
 112.5        118.18181818 127.27272727 125.         110.22727273
 117.04545455 111.36363636 102.27272727 104.54545455 126.13636364
 127.27272727 122.72727273 109.09090909 122.72727273 119.31818182
 142.04545455 117.04545455 145.45454545 113.63636364 107.95454545
 136.36363636 135.22727273 104.54545455 120.45454545 120.45454545
  97.72727273 119.31818182 138.63636364 122.72727273 122.72727273
 134.09090909 112.5        140.90909091 121.59090909 128.40909091]"
B29,"[ 4.54545455  2.27272727  0.          4.54545455  4.54545455  3.40909091
  1.13636364  2.27272727  0.         10.22727273  6.81818182 20.45454545
  6.81818182 17.04545455 20.45454545 15.90909091  9.09090909  1.13636364
  0.          4.54545455  2.27272727  0.          5.68181818  5.68181818
  3.40909091  0.          0.          1.13636364  3.40909091  2.27272727
  0.          1.13636364  0.          1.13636364  1.13636364  0.
  0.          0.          0.          0.          5.68181818 19.31818182
  6.81818182  6.81818182  0.          1.13636364  3.40909091  9.09090909
  2.27272727  9.09090909]"
B17,"[ 3.40909091  0.          1.13636364  4.54545455  2.27272727  2.27272727
  3.40909091  7.95454545  4.54545455  7.95454545  4.54545455 15.90909091
 17.04545455 39.77272727 25.          5.68181818  9.09090909  6.81818182
 10.22727273  4.54545455  1.13636364  1.13636364  4.54545455  2.27272727
  1.13636364  0.          0.          0.          1.13636364  0.
  5.68181818  3.40909091  3.40909091  1.13636364  4.54545455  4.54545455
  4.54545455  3.40909091  2.27272727  1.13636364 10.22727273  6.81818182
  2.27272727  2.27272727  1.13636364  3.40909091  2.27272727 20.45454545
  6.81818182  4.54545455]"
B01,"[ 5.68181818  9.09090909 10.22727273 12.5         4.54545455  2.27272727
 11.36363636 13.63636364  9.09090909  9.09090909 12.5        18.18181818
 15.90909091 20.45454545 12.5         5.68181818 14.77272727  4.54545455
  4.54545455  9.09090909  5.68181818  3.40909091 14.77272727  9.09090909
  3.40909091  5.68181818  7.95454545  4.54545455 13.63636364  4.54545455
  7.95454545  5.68181818  2.27272727 13.63636364  3.40909091 10.22727273
 12.5        13.63636364 11.36363636  4.54545455  2.27272727 18.18181818
  2.27272727 11.36363636  6.81818182  7.95454545 14.77272727 10.22727273
  7.95454545 11.36363636]"
B32,"[12.5        12.5        10.22727273  6.81818182 13.63636364 10.22727273
  9.09090909 12.5         6.81818182  9.09090909 10.22727273 22.72727273
 10.22727273 17.04545455 20.45454545  9.09090909 19.31818182 12.5
 13.63636364  7.95454545 11.36363636 14.77272727  5.68181818  7.95454545
  3.40909091  3.40909091  9.09090909 13.63636364 14.77272727 21.59090909
 12.5        23.86363636 15.90909091 19.31818182  9.09090909  7.95454545
 15.90909091 20.45454545 11.36363636  7.95454545 10.22727273 15.90909091
 21.59090909 13.63636364 14.77272727 13.63636364 13.63636364 13.63636364
 11.36363636 17.04545455]"
B13,"[ 0.          2.27272727  0.          1.13636364  3.40909091  4.54545455
  5.68181818  2.27272727  1.13636364 15.90909091  9.09090909 15.90909091
 10.22727273 18.18181818 26.13636364 12.5        12.5         4.54545455
  0.          7.95454545  5.68181818  0.          6.81818182  7.95454545
  3.40909091  1.13636364  0.          0.          4.54545455  2.27272727
  1.13636364  2.27272727  1.13636364  3.40909091  2.27272727  0.
  0.          0.          0.          0.          5.68181818 19.31818182
 12.5         5.68181818  0.          4.54545455  6.81818182  4.54545455
  3.40909091  9.09090909]"
