Unnamed: 0,index,Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame,frame,blue_x,red_x,blue_y,red_y,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,speak_xpix,speak_ypix,h2s_x,h2s_y,h2s_distance,h2s_theta,A11,B30,B19,B16,A25,A13,B06,A28,A04,B21,B26,B11,A14,A02,A17,B29,B17,B01,A27,B32,A23,A24,A03,B13,B15,B10,B07,B08,A21,B02,A09,A16,A12,A18,A07,B03,A15,A26,B28,B04,B12,A19,B20,B22,A30,B05,B27,A01,B23,B25,A06,A29,A10,A08,A05,B18,A32,A31,B14,B09,A22,B31,A20,B24
21,60,61,0,61,22,1755907,39.816485,40.852485,52.8459,47.1319,1178,1178,431.851095202173,439.736458454377,336.465092497573,343.28111851562,435.793776828275,339.8731055065965,-3.942681626102001,-3.4080130090235343,2.2835852059141777,269.0,226.5,23.302751150761026,200.32625097489336,201.6770315153668,1.4549927768225803,3,0,0,0,1,2,0,0,0,0,0,5,1,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,3,0,0,0,0,0,0,0,2,1,2,0,0,0,0,3,1,0,0,2,1,0,2,0,0,0,0,0,0
22,69,70,0,70,22,2017890,45.757143,46.793143,58.7866,53.0726,1327,1327,300.816388723415,296.170100649636,424.884145861415,429.868586518556,298.4932446865255,427.3763661899855,2.3231440368895164,-2.492220328570511,-2.391291909370211,269.0,226.5,158.5431458448869,126.82758722549022,203.0299632463948,0.6747142910258026,1,1,0,0,0,3,4,0,0,0,0,9,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0
23,117,118,1,35,22,997775,22.625283,85.070283,96.76975,91.05575,2276,2276,499.395328587736,476.085691919864,198.430248230481,200.477726490386,487.7405102538,199.4539873604335,11.654818333935964,-1.023739129952503,-1.6584097339554726,269.0,226.5,-7.8021824174591075,-220.26807207427288,220.40621049732783,-1.6062028282756895,0,0,0,0,1,1,5,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
24,125,126,1,43,22,1218614,27.632971,90.077971,101.77745,96.06345,2402,2402,320.5,320.5,240.5,240.5,320.5,240.5,0.0,0.0,-1.5707963267948966,269.0,226.5,14.000000000000002,-51.5,53.3689984916337,-1.3053659701459766,0,1,0,0,1,3,0,0,0,0,0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25,6,7,0,7,43,189582,4.298912,5.334912,17.14245,11.42845,286,286,243.641069247071,234.951796240623,346.110299193044,350.37237739421,239.296432743847,348.241338293627,4.344636503223995,-2.131039100582996,-2.026814146633656,274.7,399.1,-61.252475213428674,9.388840463686089,61.96786300191611,2.989495461762662,1,0,0,0,0,3,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1
26,15,16,0,16,43,453018,10.272517,11.308517,23.1161,17.4021,435,435,425.505962338536,427.243576069313,422.830737438758,435.777902231471,426.3747692039245,429.3043198351145,-0.8688068653885352,-6.473582396356505,3.008181782893902,274.7,399.1,146.30933950101982,50.11101400431829,154.65295519247493,0.3299781424859915,4,0,0,1,0,4,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,10,0,0,0,0,0,0
27,37,38,0,38,43,1105214,25.061542,26.097542,37.99805,32.28405,807,807,257.150850161124,252.100473050068,406.733861831544,415.279408111369,254.625661605596,411.0066349714565,2.5251885555280182,-4.272773139912488,-2.6078206166375484,274.7,399.1,-11.22396974272107,20.463858911042017,23.339816158585137,2.0724700143262247,1,0,0,1,1,1,1,2,3,0,0,5,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,2,1,0,2,0,1,0,0,0,0,0,0,2,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
28,38,39,0,39,43,1122854,25.461542,26.497542,38.39805,32.68405,817,817,286.081850848487,286.521286411348,407.265165560373,415.7479993362,286.3015686299175,411.5065824482865,-0.2197177814304609,-4.241416887913488,3.089835997168409,274.7,399.1,10.944196656633974,12.990159439427128,16.985867146566758,0.8706731162456709,1,2,0,3,1,0,1,0,1,1,0,10,0,0,6,0,1,2,0,0,0,0,1,0,1,4,0,0,4,0,1,0,1,0,0,3,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2
29,51,52,0,52,43,1506766,34.167029,35.203029,47.19645,41.48245,1037,1037,389.668074149627,402.024675653003,303.625438019403,315.142116200706,395.846374901315,309.3837771100545,-6.178300751688028,-5.758339090651532,2.321026426387951,274.7,399.1,148.22874733044108,27.453292447657425,150.7496096226068,0.1831338057280338,0,16,12,2,0,2,12,0,0,19,19,4,0,0,0,29,8,5,0,11,0,0,0,33,13,4,11,14,1,13,0,0,0,0,0,13,0,0,8,12,17,0,5,4,0,6,31,0,30,29,3,0,0,0,1,9,0,4,11,31,0,21,0,9
30,77,78,0,78,43,2270472,51.484626,52.520626,64.5141,58.8001,1470,1470,236.545497514451,230.702531829696,447.442101639002,441.587046093979,233.62401467207349,444.5145738664905,2.9214828423775145,2.927527772511496,-0.7843646675842642,274.7,399.1,61.15485764832588,-3.131050326639404,61.23495807245197,-0.0511540526003754,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
