scorer,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000
bodyparts,red_LED,red_LED,red_LED,blue_LED,blue_LED,blue_LED
coords,x,y,likelihood,x,y,likelihood
87,568.0390014648438,84.58173370361328,0.04154035449028015,568.8690185546875,89.42535400390625,0.9999908208847046
88,567.0142822265625,95.75035095214844,0.0004247725009918213,568.2811889648438,88.41754913330078,0.9998365044593811
89,566.85400390625,86.43284606933594,0.04341048002243042,568.475341796875,88.1258773803711,0.9999727010726929
90,569.0673217773438,81.53237915039062,0.9995801448822021,567.8307495117188,89.12236785888672,0.9999978542327881
91,572.5734252929688,85.33423614501953,0.03633451461791992,568.5394897460938,90.30113983154297,0.9999969005584717
92,573.0478515625,84.42475128173828,0.9999446868896484,572.3527221679688,93.43828582763672,0.9999992847442627
93,572.888427734375,88.83793640136719,0.9999891519546509,574.5903930664062,98.51812744140625,0.9999995827674866
94,573.335693359375,99.11720275878906,0.999985933303833,578.0880126953125,103.96504211425781,0.9999984502792358
95,573.3433227539062,102.8862075805664,0.9999493360519409,580.615478515625,110.53202819824219,0.9999980330467224
96,574.9790649414062,110.38381958007812,0.9999550580978394,583.1530151367188,117.19221496582031,0.9999988079071045
97,577.092041015625,115.07154083251953,0.999991774559021,586.4009399414062,121.91600036621094,0.9999934434890747
98,579.0343017578125,121.0060043334961,0.9999974966049194,590.0422973632812,126.98832702636719,0.9999833106994629
99,580.4007568359375,125.11213684082031,0.999998927116394,594.1315307617188,132.02796936035156,0.9999992251396179
100,584.18017578125,130.34988403320312,0.9999971389770508,595.053955078125,137.6232147216797,0.9999992847442627
101,586.9603881835938,134.2960968017578,0.9999985098838806,598.2536010742188,141.48216247558594,0.9999991655349731
102,589.6546630859375,140.0874786376953,0.9999986886978149,601.603515625,148.0914764404297,0.9999994039535522
103,594.0853271484375,146.92604064941406,0.9999997615814209,605.0137939453125,155.17547607421875,0.9999991655349731
104,597.8088989257812,156.48416137695312,0.9999998211860657,608.953857421875,163.41587829589844,0.9999995231628418
105,602.2807006835938,165.98704528808594,0.9999998807907104,612.6069946289062,173.93707275390625,1.0
106,608.0111694335938,176.80581665039062,0.9999986886978149,615.078857421875,184.70623779296875,0.9999993443489075
107,613.7019653320312,188.00074768066406,1.0,622.640869140625,194.21981811523438,1.0
108,621.0400390625,198.80722045898438,0.9999997615814209,630.7296142578125,196.57386779785156,0.02672678232192993
109,625.9942626953125,209.81712341308594,0.9999815821647644,635.4645385742188,204.9774932861328,0.04430496692657471
110,189.8844757080078,472.3775939941406,7.839636964490637e-06,5.306948184967041,-0.2031712532043457,4.713514954346465e-06
111,544.6552124023438,252.13087463378906,5.385640179156326e-05,606.56005859375,228.81712341308594,0.00043973326683044434
112,545.3013305664062,260.53216552734375,0.0013385117053985596,543.908935546875,258.5025329589844,3.8956248317845166e-05
113,538.3206787109375,255.60289001464844,0.07652628421783447,545.814453125,267.8126220703125,0.0004934966564178467
114,173.2664031982422,483.3052062988281,1.3288076843309682e-05,175.27969360351562,484.0508728027344,7.60043621994555e-06
115,188.7715606689453,472.8539733886719,3.416951221879572e-05,190.0565948486328,483.8323974609375,2.0125569790252484e-05
116,541.6775512695312,253.5149688720703,3.0499815693474375e-05,189.56700134277344,484.2452392578125,9.58844702836359e-06
117,179.27456665039062,483.03204345703125,5.209512892179191e-05,189.85357666015625,483.9047546386719,3.412925798329525e-05
118,541.97021484375,255.1290283203125,3.103719063801691e-05,5.358596324920654,-0.16628599166870117,5.070404313300969e-06
119,541.6978759765625,254.58851623535156,3.4496013540774584e-05,5.36993408203125,-0.15787792205810547,5.3024746193841565e-06
