Unnamed: 0,index,Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame,frame,blue_x,red_x,blue_y,red_y,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,speak_xpix,speak_ypix,h2s_x,h2s_y,h2s_distance,h2s_theta
33,629,630,7,50,29,1524018,34.558231,459.405231,498.2898,494.5198,12363,12363,228.89392872453,226.204081313172,410.711312754966,403.657843632857,227.549005018851,407.18457819391153,1.3449237056790082,3.526734561054468,-0.3643269999643383,267.0,101.0,145.96143745930192,-272.03057861865545,308.7156894762334,-1.0783282291642162
34,633,634,7,54,29,1624140,36.828571,461.675571,500.56015,496.79015,12420,12420,232.317784598081,228.183938598156,443.07273485965,436.262168850462,230.2508615981185,439.667451855056,2.0669229999625145,3.4052830045939686,-0.5455326879423554,267.0,101.0,207.1406154729724,-270.44205948919176,340.65545954714617,-0.917175563593067
35,789,790,9,45,29,1365598,30.965941,576.411941,615.25585,611.48585,15287,15287,249.924038190965,249.889754534094,184.738438574733,191.901247231113,249.9068963625295,188.319842902923,0.0171418284355127,-3.58140432818999,-3.1368063474469112,267.0,101.0,-16.674969942486243,87.4006552262032,88.97712715385039,1.7593184176473968
36,490,491,5,77,39,2208974,50.090113,354.313113,393.1705,389.4005,9735,9735,206.690037102165,229.158092261513,320.929449578191,314.781188151434,217.924064681839,317.8553188648125,-11.234027579674006,3.0741307133785085,1.3036906789895069,272.7,338.6,34.46665724850165,-47.35815054976565,58.57256085728163,-0.9416636095550202
37,495,496,5,82,39,2368897,53.716485,357.939485,396.7969,393.0269,9826,9826,197.043462776538,232.605669397006,323.379648680425,321.958797082393,214.824566086772,322.66922288140904,-17.781103310233988,0.7104257990159795,1.5308635888817528,272.7,338.6,18.22858736424412,-57.19330479130195,60.02795607253876,-1.2622559121548926
38,630,631,7,51,39,1542143,34.969229,459.816229,498.7008,494.9308,12373,12373,229.781317305905,227.015092166298,410.591991275381,402.512271650976,228.3982047361015,406.5521314631785,1.383112569803501,4.039859812202508,-0.3298582338372902,272.7,338.6,63.923709665633226,-49.938968517354255,81.11806971318703,-0.6631891042336427
39,653,654,7,74,39,2163759,49.06483,473.91183,512.79645,509.02645,12726,12726,315.707281313556,311.621141481748,399.559744716326,396.146338899871,313.664211397652,397.8530418080985,2.0430699159039705,1.7067029082274985,-0.8748620166966042,272.7,338.6,19.21177705041415,-69.42547948346467,72.0346415202005,-1.3008269550694322
40,491,492,5,78,40,2245998,50.92966,355.15266,394.01005,390.24005,9756,9756,205.844379700233,232.166086687093,320.393198572079,319.018632156158,219.005233193663,319.7059153641185,-13.160853493430013,0.6872832079604905,1.51862193993184,270.8,282.1,-34.853607868070405,-53.68546132310731,64.00705225907588,-2.146622139220373
41,559,560,6,63,40,1849098,41.92966,406.42666,445.2892,441.5192,11038,11038,359.383877387706,364.749813409282,325.347468195696,324.515023860674,362.066845398494,324.931246028185,-2.682968010788045,0.4162221675110231,1.416888223890913,270.8,282.1,-56.31627663831858,83.62194503188678,100.81742262783511,2.163489260212602
42,645,646,7,66,40,1959882,44.441769,469.288769,508.17335,504.40335,12610,12610,226.334908386274,221.699447112842,423.118510304587,416.672289709092,224.017177749558,419.8954000068395,2.317730636715993,3.223110297747496,-0.6234284391501597,270.8,282.1,118.4301102418632,-84.56071019605665,145.52046151920132,-0.6200692836713508
