Chan,MeanRate
A16,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
A09,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
A12,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
A18,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
B31,"[0.     3.125  0.     0.     0.     3.125  0.     4.6875 3.125  0.
 4.6875 3.125  3.125  3.125  0.     1.5625 0.     3.125  1.5625 3.125
 0.     3.125  1.5625 6.25   0.     0.     3.125  0.     0.     0.
 1.5625 0.     0.     0.     0.     0.     0.     3.125  0.     1.5625
 1.5625 1.5625 0.     4.6875 1.5625 4.6875 4.6875 4.6875 0.     0.    ]"
B07,"[39.0625 51.5625 35.9375 40.625  35.9375 26.5625 42.1875 32.8125 42.1875
 39.0625 51.5625 37.5    34.375  37.5    43.75   45.3125 40.625  35.9375
 46.875  40.625  45.3125 37.5    48.4375 40.625  56.25   45.3125 46.875
 45.3125 26.5625 54.6875 37.5    46.875  28.125  54.6875 56.25   32.8125
 37.5    32.8125 46.875  37.5    34.375  40.625  39.0625 42.1875 31.25
 43.75   40.625  40.625  39.0625 31.25  ]"
B05,"[ 6.25    9.375   1.5625  3.125  15.625  17.1875  3.125   9.375   9.375
  7.8125  7.8125  4.6875  1.5625 17.1875 10.9375 17.1875 10.9375 15.625
  9.375  12.5    10.9375  9.375  10.9375 14.0625  6.25    3.125  10.9375
  4.6875  9.375   6.25   14.0625  4.6875  4.6875 15.625   7.8125  7.8125
 10.9375  4.6875  6.25   15.625  17.1875  7.8125 14.0625 10.9375 10.9375
 10.9375 10.9375 14.0625  9.375  12.5   ]"
B30,"[ 7.8125  4.6875  3.125   9.375   4.6875  7.8125  7.8125  6.25    4.6875
  1.5625  9.375   4.6875  3.125   6.25    0.      4.6875  7.8125 15.625
 25.     20.3125 17.1875 14.0625 10.9375 12.5    10.9375  7.8125  9.375
  9.375   9.375   3.125  12.5     1.5625  1.5625  3.125   3.125   6.25
  3.125   3.125   1.5625  3.125   1.5625  0.      4.6875  3.125   3.125
  4.6875  7.8125  7.8125  7.8125  3.125 ]"
B25,"[ 7.8125  7.8125 10.9375  6.25   14.0625 12.5    17.1875 20.3125 18.75
 17.1875 20.3125 29.6875 48.4375 42.1875 45.3125 39.0625 29.6875 21.875
 25.     34.375  25.     14.0625 10.9375 14.0625 20.3125 23.4375 23.4375
 17.1875 12.5     9.375  20.3125  7.8125 12.5    10.9375  7.8125 10.9375
 12.5     9.375   7.8125 18.75   17.1875 17.1875  9.375   6.25   12.5
 25.     28.125  20.3125 14.0625 12.5   ]"
B24,"[ 4.6875  0.      0.      1.5625  1.5625  3.125   3.125  10.9375  7.8125
  1.5625 12.5     1.5625  6.25   20.3125 15.625  14.0625  4.6875  9.375
  6.25   15.625  21.875  10.9375  6.25    6.25    7.8125  1.5625  4.6875
  4.6875  3.125   4.6875  3.125   3.125   1.5625  3.125   4.6875  3.125
  1.5625  9.375   1.5625  6.25    4.6875  0.      7.8125  4.6875  7.8125
  7.8125 12.5    10.9375  3.125   6.25  ]"
