Global_Idx,Block,Local_Idx,x,y,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time
1,0,1,62.5,82.5,5,57815,1.310998,2.370998,34.424
2,0,2,177.5,197.5,29,88297,2.0022,3.0622,35.2081
3,0,3,222.5,172.5,25,113933,2.583515,3.643515,35.7894
4,0,4,62.5,127.5,6,138600,3.142857,4.202857,36.44165
5,0,5,87.5,37.5,45,159148,3.608798,4.668798,37.09335
6,0,6,87.5,172.5,27,182845,4.146145,5.206145,37.72355
7,0,7,247.5,82.5,11,218174,4.947256,6.007256,38.61755
8,0,8,247.5,127.5,12,236056,5.352744,6.412744,39.11595
9,0,9,247.5,82.5,11,264115,5.989002,7.049002,39.7522
10,0,10,177.5,12.5,43,290236,6.581315,7.641315,40.3445
11,0,11,132.5,12.5,44,308845,7.003288,8.063288,40.7665
12,0,12,87.5,37.5,45,347808,7.886803,8.946803,41.7429
13,0,13,222.5,172.5,25,374172,8.484626,9.544626,42.3407
14,0,14,87.5,172.5,27,406835,9.225283,10.285283,43.17425
15,0,15,247.5,127.5,12,426655,9.674717,10.734717,43.71655
16,0,16,247.5,127.5,12,458834,10.404399,11.464399,44.632
17,0,17,87.5,172.5,27,480108,10.886803,11.946803,45.1144
18,0,18,247.5,82.5,11,504533,11.440658,12.500658,45.76115
19,0,19,177.5,12.5,43,543738,12.32966,13.38966,46.8359
20,0,20,222.5,172.5,25,563802,12.784626,13.844626,47.2909
21,0,21,222.5,172.5,25,584107,13.245057,14.305057,47.8442
22,0,22,222.5,172.5,25,617255,13.996712,15.056712,48.59585
23,0,23,222.5,37.5,47,652341,14.792313,15.852313,49.4843
24,0,24,62.5,127.5,6,675796,15.324172,16.384172,50.0162
25,0,25,222.5,37.5,47,705552,15.998912,17.058912,50.7838
26,0,26,62.5,82.5,5,739668,16.772517,17.832517,51.7432
27,0,27,132.5,12.5,44,770393,17.469229,18.529229,52.4399
28,0,28,62.5,127.5,6,789487,17.9022,18.9622,53.0586
29,0,29,247.5,82.5,11,820454,18.604399,19.664399,53.8537
30,0,30,62.5,82.5,5,849240,19.257143,20.317143,54.50645
31,0,31,62.5,82.5,5,870999,19.750544,20.810544,55.09275
32,0,32,132.5,197.5,30,900028,20.408798,21.468798,55.751
33,0,33,177.5,197.5,29,937537,21.259342,22.319342,56.6944
34,0,34,62.5,82.5,5,968746,21.967029,23.027029,57.58785
35,0,35,132.5,12.5,44,1007467,22.845057,23.905057,58.4659
36,0,36,132.5,12.5,44,1036738,23.508798,24.568798,59.12965
37,0,37,222.5,172.5,25,1075216,24.381315,25.441315,60.00215
38,0,38,222.5,37.5,47,1094552,24.819773,25.879773,60.4406
39,0,39,87.5,172.5,27,1132304,25.675828,26.735828,61.48245
40,0,40,132.5,12.5,44,1154548,26.180227,27.240227,61.98685
41,0,41,132.5,197.5,30,1188180,26.942857,28.002857,62.93525
42,0,42,177.5,197.5,29,1209697,27.430771,28.490771,63.42315
43,0,43,247.5,127.5,12,1246237,28.259342,29.319342,64.2517
44,0,44,132.5,197.5,30,1277931,28.978027,30.038027,64.9704
45,0,45,87.5,37.5,45,1300417,29.487914,30.547914,65.4803
46,0,46,177.5,12.5,43,1333807,30.245057,31.305057,66.23745
47,0,47,87.5,37.5,45,1366712,30.991202,32.051202,66.9836
48,0,48,87.5,37.5,45,1401314,31.775828,32.835828,67.8611
49,0,49,87.5,37.5,45,1425496,32.324172,33.384172,68.40945
50,0,50,87.5,172.5,27,1463732,33.191202,34.251202,69.36935
51,0,51,177.5,197.5,29,1486703,33.712086,34.772086,69.89025
52,0,52,177.5,12.5,43,1526393,34.612086,35.672086,70.79025
53,0,53,132.5,12.5,44,1547425,35.089002,36.149002,71.36005
54,0,54,132.5,197.5,30,1575242,35.719773,36.779773,71.9908
55,0,55,177.5,12.5,43,1607663,36.454943,37.514943,72.91175
56,0,56,247.5,127.5,12,1632572,37.019773,38.079773,73.4766
57,0,57,222.5,172.5,25,1650697,37.430771,38.490771,74.07335
58,0,58,247.5,82.5,11,1679241,38.078027,39.138027,74.8135
59,0,59,132.5,197.5,30,1700031,38.549456,39.609456,75.3778
60,0,60,62.5,127.5,6,1729544,39.218685,40.278685,76.047
61,0,61,62.5,127.5,6,1763903,39.9978,41.0578,77.0119
62,0,62,222.5,37.5,47,1799716,40.809887,41.869887,77.824
63,0,63,222.5,37.5,47,1822929,41.336259,42.396259,78.44325
64,0,64,132.5,12.5,44,1856804,42.104399,43.164399,79.2114
65,0,65,87.5,172.5,27,1879532,42.619773,43.679773,79.72675
66,0,66,177.5,197.5,29,1906138,43.223084,44.283084,80.33005
67,0,67,247.5,82.5,11,1924505,43.639569,44.699569,80.83945
68,0,68,222.5,37.5,47,1960075,44.446145,45.506145,81.8318
69,0,69,222.5,37.5,47,1987408,45.065941,46.125941,82.4516
70,0,70,62.5,127.5,6,2023705,45.889002,46.949002,83.27465
71,0,71,62.5,127.5,6,2048857,46.459342,47.519342,83.845
72,0,72,87.5,37.5,45,2075947,47.073628,48.133628,84.55215
73,0,73,62.5,82.5,5,2110791,47.863741,48.923741,85.34225
74,0,74,247.5,127.5,12,2148785,48.725283,49.785283,86.2038
75,0,75,177.5,12.5,43,2168363,49.169229,50.229229,86.74065
76,0,76,247.5,127.5,12,2204418,49.986803,51.046803,87.6511
77,0,77,62.5,82.5,5,2226420,50.485714,51.545714,88.2429
78,0,78,177.5,197.5,29,2250360,51.028571,52.088571,88.8786
79,0,79,177.5,197.5,29,2269212,51.456054,52.516054,89.3061
80,0,80,177.5,12.5,43,2286852,51.856054,52.916054,89.7061
81,0,81,132.5,197.5,30,2315153,52.4978,53.5578,90.34785
82,0,82,132.5,197.5,30,2346605,53.210998,54.270998,91.15395
83,0,83,87.5,172.5,27,2383872,54.056054,55.116054,91.999
84,1,1,177.5,12.5,43,63145,1.431859,68.870859,101.1399
85,1,2,87.5,172.5,27,89508,2.02966,69.46866,101.8306
86,1,3,62.5,82.5,5,123383,2.7978,70.2368,102.5987
87,1,4,177.5,197.5,29,141508,3.208798,70.647798,103.0097
88,1,5,87.5,172.5,27,161086,3.652744,71.091744,103.54655
89,1,6,222.5,37.5,47,195445,4.431859,71.870859,104.3257
90,1,7,132.5,12.5,44,227139,5.150544,72.589544,105.13725
91,1,8,247.5,82.5,11,259318,5.880227,73.319227,105.9598
92,1,9,177.5,12.5,43,289558,6.565941,74.004941,106.7384
93,1,10,177.5,12.5,43,324644,7.361542,74.800542,107.534
94,1,11,247.5,127.5,12,345434,7.832971,75.271971,108.00545
95,1,12,222.5,172.5,25,384397,8.716485,76.155485,108.98185
96,1,13,62.5,127.5,6,410275,9.303288,76.742288,109.56865
97,1,14,177.5,197.5,29,437123,9.912086,77.351086,110.2703
98,1,15,222.5,172.5,25,472936,10.724172,78.163172,111.1753
99,1,16,247.5,127.5,12,491788,11.151655,78.590655,111.69565
100,1,17,87.5,37.5,45,527116,11.952744,79.391744,112.5896
101,1,18,62.5,127.5,6,550329,12.479116,79.918116,113.116
102,1,19,222.5,37.5,47,569665,12.917574,80.356574,113.55445
103,1,20,87.5,172.5,27,593121,13.449456,80.888456,114.08635
104,1,21,62.5,82.5,5,621665,14.096712,81.535712,114.8265
105,1,22,87.5,37.5,45,659416,14.952744,82.391744,115.6825
106,1,23,62.5,127.5,6,684083,15.512086,82.951086,116.24185
107,1,24,177.5,12.5,43,707781,16.049456,83.488456,116.7792
108,1,25,132.5,12.5,44,725663,16.454943,83.893943,117.1847
109,1,26,87.5,37.5,45,758568,17.201088,84.640088,118.02375
110,1,27,87.5,172.5,27,778632,17.656054,85.095054,118.4787
111,1,28,247.5,82.5,11,811779,18.407687,85.846687,119.3232
112,1,29,222.5,37.5,47,835719,18.950544,86.389544,119.8661
113,1,30,132.5,197.5,30,871290,19.757143,87.196143,120.6727
114,1,31,132.5,197.5,30,899349,20.393401,87.832401,121.30895
115,1,32,132.5,12.5,44,917716,20.809887,88.248887,121.7254
116,1,33,132.5,197.5,30,955225,21.660431,89.099431,122.576
117,1,34,222.5,172.5,25,982315,22.274717,89.713717,123.19025
118,1,35,132.5,197.5,30,1020309,23.136259,90.575259,124.0518
119,1,36,62.5,127.5,6,1059515,24.025283,91.464283,124.94085
120,1,37,177.5,197.5,29,1088785,24.689002,92.128002,125.60455
121,1,38,222.5,37.5,47,1116118,25.308798,92.747798,126.22435
122,1,39,62.5,82.5,5,1153142,26.148345,93.587345,127.0639
123,1,40,247.5,127.5,12,1190409,26.993401,94.432401,127.90895
124,1,41,62.5,127.5,6,1209503,27.426372,94.865372,128.34195
125,1,42,87.5,37.5,45,1235624,28.018685,95.457685,128.93425
126,1,43,222.5,37.5,47,1258595,28.539569,95.978569,129.548
127,1,44,87.5,37.5,45,1298285,29.439569,96.878569,130.448
128,1,45,177.5,12.5,43,1326586,30.081315,97.520315,131.08975
129,1,46,87.5,37.5,45,1353192,30.684626,98.123626,131.78595
130,1,47,247.5,82.5,11,1389974,31.518685,98.957685,132.62
131,1,48,87.5,172.5,27,1412218,32.023084,99.462084,133.1244
132,1,49,177.5,197.5,29,1436400,32.571429,100.010429,133.67275
133,1,50,247.5,127.5,12,1470517,33.345057,100.784057,134.4464
134,1,51,62.5,82.5,5,1503907,34.1022,101.5412,135.2964
135,1,52,177.5,12.5,43,1540447,34.930771,102.369771,136.2179
136,1,53,177.5,197.5,29,1573110,35.671429,103.110429,137.0514
137,1,54,62.5,127.5,6,1594869,36.16483,103.60383,137.5448
138,1,55,222.5,172.5,25,1620021,36.73517,104.17417,138.11515
139,1,56,222.5,37.5,47,1651957,37.459342,104.898342,138.83935
140,1,57,132.5,12.5,44,1681712,38.134059,105.573059,139.60695
141,1,58,132.5,12.5,44,1721160,39.028571,106.467571,140.50145
142,1,59,132.5,197.5,30,1757215,39.846145,107.285145,141.4119
143,1,60,247.5,127.5,12,1782852,40.427483,107.866483,141.99325
144,1,61,247.5,82.5,11,1808245,41.003288,108.442288,142.66195
145,1,62,62.5,127.5,6,1830247,41.5022,108.9412,143.16085
146,1,63,177.5,197.5,29,1860245,42.182426,109.621426,143.93395
147,1,64,62.5,82.5,5,1889758,42.851655,110.290655,144.6032
148,1,65,87.5,37.5,45,1910790,43.328571,110.767571,145.0801
149,1,66,87.5,172.5,27,1941757,44.030771,111.469771,146.06095
150,1,67,247.5,82.5,11,1970785,44.689002,112.128002,146.7192
151,1,68,62.5,82.5,5,1992060,45.171429,112.610429,147.2016
152,1,69,247.5,127.5,12,2030538,46.043946,113.482946,148.0741
153,1,70,132.5,12.5,44,2061990,46.757143,114.196143,148.7873
154,1,71,247.5,82.5,11,2082295,47.217574,114.656574,149.24775
155,1,72,132.5,197.5,30,2118593,48.040658,115.479658,150.07085
156,1,73,222.5,37.5,47,2149802,48.748345,116.187345,150.77855
157,1,74,177.5,197.5,29,2184646,49.538458,116.977458,151.56865
158,1,75,177.5,12.5,43,2218278,50.301088,117.740088,152.3313
159,1,76,222.5,172.5,25,2246095,50.931859,118.370859,152.96205
160,1,77,247.5,82.5,11,2273670,51.557143,118.996143,153.6802
161,1,78,222.5,172.5,25,2304152,52.248345,119.687345,154.4643
162,1,79,132.5,197.5,30,2336573,52.983515,120.422515,155.29235
163,1,80,222.5,172.5,25,2359059,53.493401,120.932401,155.80225
164,1,81,132.5,12.5,44,2383484,54.047256,121.486256,156.449
165,1,82,62.5,82.5,5,2406212,54.56263,122.00163,157.05725
166,1,83,87.5,172.5,27,2440814,55.347256,122.786256,157.84185
167,2,1,247.5,127.5,12,55392,1.256054,133.227054,165.7015
168,2,2,132.5,197.5,30,76424,1.732971,133.703971,166.17845
169,2,3,222.5,37.5,47,113691,2.578027,134.549027,167.20925
170,2,4,177.5,12.5,43,141750,3.214286,135.185286,167.9384
171,2,5,177.5,197.5,29,173686,3.938458,135.909458,168.75545
172,2,6,247.5,82.5,11,208772,4.734059,136.705059,169.64395
173,2,7,87.5,37.5,45,239739,5.436259,137.407259,170.6248
174,2,8,87.5,37.5,45,278218,6.308798,138.279798,171.5902
175,2,9,222.5,172.5,25,298038,6.758231,138.729231,172.1325
176,2,10,87.5,37.5,45,323190,7.328571,139.299571,172.70285
177,2,11,247.5,82.5,11,362395,8.217574,140.188574,173.59185
178,2,12,87.5,172.5,27,400389,9.079116,141.050116,174.4534
179,2,13,177.5,12.5,43,429418,9.73737,141.70837,175.11165
180,2,14,247.5,82.5,11,450692,10.219773,142.190773,175.68695
181,2,15,247.5,82.5,11,474390,10.757143,142.728143,176.2243
182,2,16,177.5,12.5,43,500995,11.360431,143.331431,176.9205
183,2,17,87.5,172.5,27,522997,11.859342,143.830342,177.5123
184,2,18,247.5,82.5,11,557114,12.632971,144.603971,178.3788
185,2,19,87.5,37.5,45,584204,13.247256,145.218256,179.17885
186,2,20,132.5,12.5,44,612990,13.9,145.871,179.92445
187,2,21,62.5,82.5,5,645168,14.62966,146.60066,180.8399
188,2,22,87.5,172.5,27,664505,15.068141,147.039141,181.37125
189,2,23,62.5,82.5,5,702014,15.918685,147.889685,182.40755
190,2,24,222.5,37.5,47,721592,16.36263,148.33363,182.8515
191,2,25,177.5,12.5,43,754740,17.114286,149.085286,183.69605
192,2,26,247.5,127.5,12,773592,17.541769,149.512769,184.1235
193,2,27,87.5,172.5,27,791958,17.958231,149.929231,184.6329
194,2,28,177.5,197.5,29,831406,18.852744,150.823744,185.806
195,2,29,177.5,12.5,43,862131,19.549456,151.520456,186.50275
196,2,30,87.5,37.5,45,895521,20.306599,152.277599,187.5385
197,2,31,132.5,12.5,44,917038,20.794512,152.765512,188.1193
198,2,32,177.5,197.5,29,953820,21.628571,153.599571,189.232
199,2,33,222.5,172.5,25,971460,22.028571,153.999571,189.632
200,2,34,132.5,12.5,44,1000731,22.692313,154.663313,190.38865
201,2,35,222.5,172.5,25,1027578,23.301088,155.272088,191.0903
202,2,36,62.5,127.5,6,1049822,23.805488,155.776488,191.6876
203,2,37,177.5,12.5,43,1070370,24.271429,156.242429,192.1535
204,2,38,177.5,12.5,43,1109091,25.149456,157.120456,193.12445
205,2,39,132.5,197.5,30,1138604,25.818685,157.789685,193.97945
206,2,40,87.5,172.5,27,1159394,26.290113,158.261113,194.6366
207,2,41,87.5,37.5,45,1182122,26.805488,158.776488,195.2449
208,2,42,62.5,127.5,6,1200732,27.227483,159.198483,195.6669
209,2,43,132.5,197.5,30,1236302,28.034059,160.005059,196.56635
210,2,44,247.5,127.5,12,1254427,28.445057,160.416057,196.97735
211,2,45,132.5,197.5,30,1276913,28.954943,160.925943,197.5801
212,2,46,62.5,127.5,6,1301095,29.503288,161.474288,198.3142
213,2,47,62.5,82.5,5,1333758,30.243946,162.214946,199.14775
214,2,48,132.5,12.5,44,1366664,30.990113,162.961113,199.9868
215,2,49,247.5,82.5,11,1401508,31.780227,163.751227,200.7769
216,2,50,222.5,37.5,47,1424721,32.306599,164.277599,201.3033
217,2,51,62.5,82.5,5,1454961,32.992313,164.963313,201.989
218,2,52,87.5,37.5,45,1480597,33.573628,165.544628,202.6632
219,2,53,222.5,172.5,25,1505022,34.127483,166.098483,203.21705
220,2,54,177.5,197.5,29,1541319,34.950544,166.921544,204.0401
221,2,55,247.5,127.5,12,1560413,35.383515,167.354515,204.56595
222,2,56,177.5,197.5,29,1595742,36.184626,168.155626,205.45995
223,2,57,222.5,172.5,25,1632282,37.013197,168.984197,206.28855
224,2,58,247.5,127.5,12,1670518,37.880227,169.851227,207.3413
225,2,59,132.5,12.5,44,1697850,38.5,170.471,207.9611
226,2,60,62.5,127.5,6,1727848,39.180227,171.151227,208.64135
227,2,61,222.5,37.5,47,1748153,39.640658,171.611658,209.19465
228,2,62,247.5,82.5,11,1782755,40.425283,172.396283,209.9793
229,2,63,87.5,172.5,27,1809118,41.023084,172.994084,210.66995
230,2,64,222.5,172.5,25,1835238,41.615374,173.586374,211.26225
231,2,65,132.5,12.5,44,1858209,42.136259,174.107259,211.876
232,2,66,247.5,127.5,12,1890630,42.871429,174.842429,212.79695
233,2,67,132.5,197.5,30,1916024,43.447256,175.418256,213.46565
234,2,68,177.5,197.5,29,1950383,44.226372,176.197372,214.43055
235,2,69,132.5,12.5,44,1970446,44.681315,176.652315,214.97835
236,2,70,222.5,172.5,25,2010136,45.581315,177.552315,215.87835
237,2,71,177.5,197.5,29,2039892,46.256054,178.227054,216.5531
238,2,72,132.5,197.5,30,2071585,46.974717,178.945717,217.36465
239,2,73,222.5,37.5,47,2105218,47.73737,179.70837,218.1273
240,2,74,222.5,37.5,47,2142242,48.576916,180.547916,218.96685
241,2,75,132.5,197.5,30,2173452,49.284626,181.255626,219.67455
242,2,76,62.5,82.5,5,2198118,49.843946,181.814946,220.2339
243,2,77,62.5,127.5,6,2221574,50.375828,182.346828,220.76575
244,2,78,62.5,127.5,6,2239456,50.781315,182.752315,221.17125
245,2,79,87.5,172.5,27,2265335,51.368141,183.339141,221.7581
246,2,80,62.5,82.5,5,2292909,51.993401,183.964401,222.38335
247,2,81,247.5,127.5,12,2331872,52.876916,184.847916,223.4526
248,2,82,62.5,127.5,6,2365747,53.645057,185.616057,224.31365
249,2,83,62.5,82.5,5,2394291,54.292313,186.263313,224.9609
250,3,1,132.5,12.5,44,57572,1.305488,201.743488,234.1107
251,3,2,247.5,82.5,11,84905,1.925283,202.363283,234.8234
252,3,3,222.5,37.5,47,109572,2.484626,202.922626,235.4756
253,3,4,222.5,172.5,25,133512,3.027483,203.465483,236.01845
254,3,5,62.5,82.5,5,166902,3.784626,204.222626,236.9614
255,3,6,87.5,172.5,27,196415,4.453855,204.891855,237.6306
256,3,7,132.5,12.5,44,230289,5.221973,205.659973,238.3987
257,3,8,87.5,37.5,45,266102,6.034059,206.472059,239.3966
258,3,9,177.5,12.5,43,284954,6.461542,206.899542,239.82405
259,3,10,222.5,172.5,25,323190,7.328571,207.766571,240.87685
260,3,11,177.5,197.5,29,357307,8.1022,208.5402,241.74335
261,3,12,177.5,12.5,43,379551,8.606599,209.044599,242.24775
262,3,13,62.5,82.5,5,403248,9.143946,209.581946,242.7851
263,3,14,87.5,172.5,27,424281,9.620884,210.058884,243.26205
264,3,15,177.5,12.5,43,451855,10.246145,210.684145,243.9802
265,3,16,177.5,12.5,43,471434,10.690113,211.128113,244.6099
266,3,17,62.5,127.5,6,507489,11.507687,211.945687,245.4275
267,3,18,247.5,127.5,12,526825,11.946145,212.384145,245.86595
268,3,19,132.5,197.5,30,556581,12.620884,213.058884,246.72645
269,3,20,222.5,37.5,47,586578,13.301088,213.739088,247.40665
270,3,21,62.5,127.5,6,609065,13.810998,214.248998,248.00945
271,3,22,222.5,172.5,25,639305,14.496712,214.934712,248.78805
272,3,23,87.5,37.5,45,673906,15.281315,215.719315,249.66555
273,3,24,62.5,82.5,5,710446,16.109887,216.547887,250.587
274,3,25,62.5,127.5,6,750136,17.009887,217.447887,251.487
275,3,26,177.5,12.5,43,781588,17.723084,218.161084,252.38595
