Unnamed: 0,index,Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame,frame,blue_x,red_x,blue_y,red_y,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,speak_xpix,speak_ypix,h2s_x,h2s_y,h2s_distance,h2s_theta,A18,B03,B01,B08,A19,B25,A21,B15,B20,A15,A01,B18,A16,B32,A23,B10,B31,A13,A25,A10,A28,A30,A12,A32,A02,A31,B17,A07,B07,B13,B09,B12,B19,A14,B22,B02,B23,A20,B04,B27,A22,B11,A03,B24,A29,A04,B16,A11,B06,B21,B29,B26,A05,A09,A06,B30,A24,A27,A08,B14,A26,B05,B28,A17
20,377,378,4,46,29,1353676,30.695601,273.063601,290.8028,285.1638,7129,7129,207.594958601305,211.104731056419,76.6122813196405,295.392753255356,209.349844828862,186.00251728749825,-1.7548862275569943,-109.39023596785776,3.1255515902397093,267.0,101.0,-59.006210473941984,84.06685114819389,102.70817073859182,2.1827938319065705,4,0,0,0,0,0,0,1,0,0,0,0,3,0,0,6,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,3,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
21,433,434,5,19,29,543012,12.313197,314.994197,332.7924,327.1534,8179,8179,238.507268974727,205.57422483475,431.078842859843,298.92907378756,222.0407469047385,365.0039583237015,16.466522069988486,66.0748845361415,-0.2442349969674389,267.0,101.0,107.46485773401918,-245.29722542595857,267.80482529160395,-1.1578818995829612,0,2,0,0,1,0,0,2,0,0,0,0,1,0,0,5,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
22,506,507,6,9,29,282288,6.401088,369.503088,387.25235,381.61335,9540,9540,379.830379848142,371.442170778692,392.203414592794,385.780659313604,375.636275313417,388.992036953199,4.194104534725,3.211377639595014,-0.9173299491522124,267.0,101.0,162.61568136684417,-261.33770075521494,307.80067196551937,-1.0141816815189837,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,15,0,5,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,5,0,1,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0
23,518,519,6,21,29,649772,14.734059,377.836059,395.58535,389.94635,9749,9749,370.442903324057,367.347752446713,387.463879297301,378.461406863403,368.895327885385,382.962643080352,1.5475754386720268,4.501236216948996,-0.3311508109208378,267.0,101.0,-4.684287556976972,-299.772659506853,299.80925592404265,-1.5864211885048616,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,5,4,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
24,519,520,6,22,29,674682,15.298912,378.400912,396.1502,390.5112,9763,9763,343.003709071808,340.073495126921,370.804346966438,361.845764433411,341.5386020993645,366.3250556999245,1.4651069724434933,4.479291266513485,-0.3161161473020872,267.0,101.0,11.638378501572303,-275.3505702390129,275.5964230266703,-1.5285539769869396,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,7,0,0,1,0,0,5,6,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
25,661,662,7,81,29,2370157,53.745057,477.157057,494.87565,489.23665,12231,12231,375.769400231826,368.10587713554,418.310564183687,297.51217022559,371.937638683683,357.9113672046385,3.831761548142993,60.3991969790485,-0.0633556990968624,267.0,101.0,-88.46118975489561,-263.03987628991194,277.51641142725924,-1.8952175040596744,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,13,0,0,3,0,0,0,5,1,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,7,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
26,734,735,8,71,29,2062426,46.767029,530.453029,548.1768,542.5378,13563,13563,404.764454033732,412.062031738718,78.5725738493751,86.7813402805464,408.413242886225,82.67695706496076,-3.648788852492999,-4.104383215585656,2.414889312418101,267.0,101.0,117.8618468462506,80.26222164872294,142.59536866952504,0.5978503165799967,0,0,0,0,5,0,0,3,0,0,0,0,1,0,0,15,0,3,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
27,789,790,9,43,29,1277010,28.957143,572.940143,590.646,585.007,14625,14625,194.389784800309,187.96046814825,372.947774572699,364.856590277548,191.1751264742795,368.9021824251235,3.2146583260295074,4.045592147575519,-0.6714442425131498,267.0,101.0,226.0317133519838,-162.57507604950482,278.4259161668246,-0.6235340861756004,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,15,0,5,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
28,52,53,0,53,40,1586679,35.979116,37.045116,54.8768,49.2378,1231,1231,325.646712936612,318.477900019648,122.016338843832,298.399567817657,322.06230647813004,210.2079533307445,3.584406458481965,-88.19161448691248,-3.100971617712939,270.8,282.1,48.3004927840393,-73.91449679576473,88.29660491633949,-0.9919895250923592,0,1,6,0,1,1,1,0,0,0,0,0,1,0,0,2,2,3,2,1,0,0,1,0,0,0,3,1,1,1,3,0,0,0,2,1,0,0,0,0,1,6,1,0,0,0,1,0,0,0,5,6,0,0,0,0,0,1,0,0,0,0,0,0
29,189,190,2,24,40,702692,15.934059,137.641059,155.39,149.751,3744,3744,308.57468088067,307.347028647847,480.0,293.228935105883,307.9608547642585,386.6144675529415,0.6138261164114738,93.3855324470585,-0.0065729375898779,270.8,282.1,-36.473089901584245,-104.75646408559294,110.92431227952316,-1.9058401980686528,1,1,0,0,0,0,1,0,0,1,1,0,2,0,1,15,0,1,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,2,0,1,0,0,0,5,4,0,1,1,0,1,0,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0
