blue_peak,blue_x,blue_y,blue_xa,blue_ya,blue_xc,blue_yc,red_x,red_y,red_xa,red_ya,red_xc,red_yc,red_peak
28,338.535925296492,403.395977917995,0.244404475018145,0.1167473958897,2.65574724145104,4.2185745182575,562.195999644381,238.506064081477,0.0637934549731349,0.0174615150106121,12.9903479670394,53.130079990823,5
29,338.460216583657,403.461622659962,0.252340221464686,0.114935358148429,2.56985274478969,4.35126630097763,559.101891523903,253.9741056416,0.0367447412125464,0.0101495423502616,14.1778350954562,69.3020698069071,5
29,338.500735630851,403.489830315177,0.254194045813236,0.115349857915254,2.60820308401488,4.42814805395657,560.674124389859,261.994238082284,0.0403908050419391,0.00953584883165738,12.2059175670647,83.0259227707179,5
28,338.459737388534,403.333055511629,0.247474023564397,0.115484544088487,2.58458065446229,4.2189327637119,585.449042313602,261.845855747915,0.0279208917916523,0.0101286797592275,41.5921840940179,86.9964555854135,6
29,338.56394159133,403.317574653216,0.246416026835661,0.120599077590122,2.61293032479706,4.02794607193434,590.593253175768,223.083198329024,0.0335135531966327,0.0256980128037943,39.9749357016148,23.9175154087677,5
28,338.722234355156,403.456639579927,0.231643305835201,0.109743582802175,2.66680611178213,4.24829956697217,590.711625119983,224.772429838775,0.0365802850656202,0.0309161238778519,38.6068488923352,17.1708461807132,6
29,338.700441750133,403.497511134759,0.244474220066763,0.114315219101458,2.61261858685131,4.23099310678279,584.786165238612,237.148196343995,0.0237167779626852,0.0211086153374155,44.7773278707983,11.6965339124651,5
30,338.864554377423,403.761200014219,0.276374953839781,0.13307783850828,2.78202885563132,4.42578855731424,589.627582205475,224.82168575653,0.0351849046206255,0.0293578045961905,40.6353511275841,19.9342181150241,5
28,338.730663623597,403.684739515218,0.233538303860307,0.11056721219931,2.7165956602378,4.36588293884073,584.321557586625,252.409723111943,0.0217456962772895,0.0102496211332708,50.4216732416027,79.3739040870165,5
28,338.714403307971,403.501603337953,0.237146269273067,0.110924634540501,2.67845608239484,4.3400916034898,558.772435524342,233.060090290832,0.036014391528726,0.0220316466618522,12.5661910239847,15.5433363715858,5
28,338.761842600607,403.528122223794,0.231605355438688,0.109399050426927,2.68036867135578,4.29457252427985,555.93527906074,230.511880350434,0.045165073500017,0.0163656138130201,10.566082487795,34.9288892917655,5
29,338.622983426114,403.313215836654,0.249715256466545,0.116557559643899,2.55654119242347,4.14762955240545,561.004371660504,241.414785247463,0.0572123781396958,0.0234761257593435,11.5547211705979,20.8117817268652,5
28,338.698128443138,403.416154296839,0.24888946303715,0.112108298546198,2.52081292791501,4.28001260681529,586.76097125648,307.049224374879,0.0235488094188891,0.0197080974432092,41.3145174167302,15.1474947082078,5
28,338.717072952681,403.473553171215,0.230842230262946,0.11069093934925,2.66240909123235,4.19334509932553,558.459052507015,233.092634382276,0.037604722167158,0.0197634474970105,11.3362768999429,14.9594983155536,7
28,338.700839596569,403.574876336155,0.244374807764769,0.111014758201332,2.62788029937482,4.41881399475159,559.388005067971,225.820092951955,0.041485574435223,0.0247308310024416,11.0536233940849,22.0500640110312,5
28,338.676809202231,403.443632765537,0.240317969678702,0.112038931534303,2.62632601694418,4.26404497705858,572.991041311307,235.34448653955,0.0376623657918839,0.0341276276755497,34.1552125630337,12.8101730531801,6
28,338.782598934762,403.493702947116,0.234923966645726,0.111313003546906,2.65160606322368,4.26412579670218,585.887141398522,307.788374209383,0.0258590510824287,0.0270313321428591,42.4675879992857,13.1973832774563,5
28,338.676393904617,403.026567538674,0.226627770342012,0.123507724409592,2.78144675300997,3.7148156874518,552.818633878228,237.046604347528,0.192379913028064,0.0231674566260332,0.949344055352515,13.5156560090864,5
28,338.600251861969,403.720745091797,0.23778140786706,0.11274034446703,2.71378075958701,4.41041244851107,556.642706032088,256.068335989361,0.041986359661055,0.0125234860047602,12.2972180527727,65.0704830014249,5
